ID	XXX Component	Test Description	TestSteps	Test Response	Teststep keywords	ObjectType	TestStatus	Project	TestResult
ID_128	1.3.2.3.1 0200_ProgrammingCounter	To check value of the DID 0200	"1) Send service 0x22 to the camera for the DID 0200 using physical addressing
"	"1) -
"	"1) RequestResponse(220200, 620200.{3}0, Regexp)
"	Automated Testcase	implemented	CA_CD569ICA_BL03_RC05	
ID_129	1.3.2.3.2 0201_ProgrammingAttemptCounter	To check value of the DID 0201	"1) Send service 0x22 to the camera for the DID 0201 using physical addressing
"	"1) -
"	"1) RequestResponse(220201, 620201.{7}0, Regexp)
"	Automated Testcase	implemented	CA_CD569ICA_BL03_RC05	
ID_130	1.3.2.4 DID in RBEOL					Test group			
ID_131	1.3.2.4.1 F1E0	To check value of the DID F10B	"1) Access to RBEOL
2) Unlock RBEOL
3) Wait 5s
4) Send service 0x22 to the camera for the DID F1E0 using physical addressing
"	"1) -
2) -
3) -
4) -
"	"1) envvar(EnvRBEOL(1;1000), EnvRBEOL(0;1000))
2) envvar(Env_MPC3_EOL_unlock(1;1000), Env_MPC3_EOL_unlock(0;1000))
3) wait(5000)
4) RequestResponse(22f1e0,62f1e0.{5}3 ,Regexp)
"	Automated Testcase	implemented	CA_CD569ICA_BL03_RC05	
ID_132	1.3.2.4.2 F1DD	To check value of the DID F1DD	"1) Access to RBEOL
2) Unlock RBEOL
3) Wait 5s
4) Send service 0x22 to the camera for the DID F1dd using physical addressing
"	"1) -
2) -
3) -
4) -"	"1) envvar(EnvRBEOL(1;1000), EnvRBEOL(0;1000))
2) envvar(Env_MPC3_EOL_unlock(1;1000), Env_MPC3_EOL_unlock(0;1000))
3) wait(5000)
4) RequestResponse(22f1dd,62f1dd.*,Regexp)"	Automated Testcase	implemented	CA_CD569ICA_BL03_RC05	
ID_133	1.3.2.4.3 4255	To check value of the DID 4255	"1) Access to RBEOL
2) Unlock RBEOL
3) Wait 5s
4) Send service 0x22 to the camera for the DID F4255 using physical addressing
"	"1) -
2) -
3) -
4) -"	"1) envvar(EnvRBEOL(1;1000), EnvRBEOL(0;1000))
2) envvar(Env_MPC3_EOL_unlock(1;1000), Env_MPC3_EOL_unlock(0;1000))
3) wait(5000)
4) RequestResponse(224255,624255.*,Regexp)"	Automated Testcase	implemented	CA_CD569ICA_BL03_RC05	
ID_134	1.3.2.4.4 4259	To check value of the DID 4259	"1) Access to RBEOL
2) Unlock RBEOL
3) Wait 5s
4) Send service 0x22 to the camera for the DID F4259 using physical addressing
"	"1) -
2) -
3) -
4) -"	"1) envvar(EnvRBEOL(1;1000), EnvRBEOL(0;1000))
2) envvar(Env_MPC3_EOL_unlock(1;1000), Env_MPC3_EOL_unlock(0;1000))
3) wait(5000)
4) RequestResponse(224259,624259.*,Regexp)"	Automated Testcase	implemented	CA_CD569ICA_BL03_RC05	
ID_135	1.4 Latest SW to Dummy SW M5					Test group			
ID_136	1.4.1 Flash latest SW via UART					Test group			
ID_137	1.4.1.1 Flash SW					Test group			
ID_138	1.4.1.1.1 UART flash CA_CD569ICA_BL03_V4	Detail information is mentioned in the ticket: …	Screen shot the successful flash procress	Screen shot the successful flash procress	Screen shot the successful flash procress	Manual Testcase	implemented	CA_CD569ICA_BL03_V4	PASS
ID_139	1.4.1.2 Variant and Software  Identification					Test group			
ID_140	1.4.1.2.1 Select_and_check_variant	To Select and check variant (NO NEED TO  SELECT)	"1) Tester Present is ON
2) Change to Extended session with Service 0x10 03
3) Security unlock ON
4) wait
5) Security unlock OFF
6) Select variant
7) Check variant
"	"1) -
2) -
3) -
4) -
5) -
6) -
7) -
"	"1) envvar(EnvTesterPresentOnOff(1;0))
2) RequestResponse(1003, 5003.*, Regexp)
3) envvar(EnvLogInLevel1_1(0;0))
4) wait(1000)
5) envvar(EnvLogInLevel1_1(0;0))
6) RequestResponse(2e014001, 6e014001, Equal)
7) RequestResponse(22f1f0, 62014001, Equal)
"	Automated Testcase	implemented	CA_CD569ICA_BL03_V4	
ID_141	1.4.1.2.2 F194_Supplier Software number	To check value of the DID F194	"1) Send service 0x22 to the camera for the DID F194 using physical addressing
"	"1) -
"	"1) RequestResponse(22f194, 62f19443443536394943415f424c30335f5634, Regexp)
"	Automated Testcase	implemented	CA_CD569ICA_BL03_V4	
ID_142	1.4.1.2.3 F189_ECUSoftwareVersionNumberDataIdentifier	To check value of the DID F189	"1) Send service 0x22 to the camera for the DID F189 using physical addressing
"	"1) -
"	"1) RequestResponse(22f189, 62f1895357422e322e30.{2}, Regexp)
"	Automated Testcase	implemented	CA_CD569ICA_BL03_V4	
ID_143	1.4.1.2.4 F089_ECUHardwareVersionNumberDataIdentifier	To check value of the DID F089	"1) Send service 0x22 to the camera for the DID F089 using physical addressing
"	"1) -
"	"1) RequestResponse(22f089, 62f0894857432e322e30.{2}, Regexp)
"	Automated Testcase	implemented	CA_CD569ICA_BL03_V4	
ID_144	1.4.1.2.5 F187_Part Number	To check value of the DID F187	"1) Send service 0x22 to the camera for the DID F187 using physical addressing
"	"1) -
"	"1) RequestResponse(22f187, 62f187373931373033302d43523035.{18}, Regexp)
"	Automated Testcase	implemented	CA_CD569ICA_BL03_V4	
ID_145	1.4.1.2.6 F188_Software Number	To check value of the DID F188	"1) Send service 0x22 to the camera for the DID F188 using physical addressing
"	"1) -
"	"1) RequestResponse(22f188, 62f188393231323430312d43523035.{16}, Regexp)
"	Automated Testcase	implemented	CA_CD569ICA_BL03_V4	
ID_146	1.4.1.2.7 F170_FBL Version Information	To check value of the DID F170	"1) Tester Present is ON
2) Change to Extended session with Service 0x10 03
3) Send service 0x22 to the camera for the DID F170 using physical addressing
4) Change to Programing session with Service 0x10 02
5) Send service 0x22 to the camera for the DID F170 using physical addressing
6) Change to Default session with Service 0x10 01
7) Send service 0x22 to the camera for the DID F170 using physical addressing
8) Change to Extended session with Service 0x10 03
9) Send service 0x22 to the camera for the DID F170 using physical addressing
"	"1) -
2) -
3) -
4) -
5) -
6) -
7) -
8) -
9) -
"	"1) envvar(EnvTesterPresentOnOff(1;0))
2) RequestResponse(1003, 5003.*, Regexp)
3) RequestResponse(22f170, 62f17056392e30, Equal)
4) RequestResponse(1002, 5002.*, Regexp)
5) RequestResponse(22f170, 62f17056392e33, Equal)
6) RequestResponse(1001, 5001.*, Regexp)
7) RequestResponse(22f170, 62f17056392e33, Equal)
8) RequestResponse(1003, 5003.*, Regexp)
9) RequestResponse(22f170, 62f17056392e33, Equal)
"	Automated Testcase	implemented	CA_CD569ICA_BL03_V4	
ID_147	1.4.1.3 Programming Counter and Programming Attempt Counter					Test group			
ID_148	1.4.1.3.1 0200_ProgrammingCounter	To check value of the DID 0200	"1) Send service 0x22 to the camera for the DID 0200 using physical addressing
"	"1) -
"	"1) RequestResponse(220200, 620200.{3}0, Regexp)
"	Automated Testcase	implemented	CA_CD569ICA_BL03_V4	
ID_149	1.4.1.3.2 0201_ProgrammingAttemptCounter	To check value of the DID 0201	"1) Send service 0x22 to the camera for the DID 0201 using physical addressing
"	"1) -
"	"1) RequestResponse(220201, 620201.{7}0, Regexp)
"	Automated Testcase	implemented	CA_CD569ICA_BL03_V4	
ID_150	1.4.1.4 DID in RBEOL					Test group			
ID_151	1.4.1.4.1 F1E0	To check value of the DID F10B	"1) Access to RBEOL
2) Unlock RBEOL
3) Wait 5s
4) Send service 0x22 to the camera for the DID F1E0 using physical addressing
"	"1) -
2) -
3) -
4) -
"	"1) envvar(EnvRBEOL(1;1000), EnvRBEOL(0;1000))
2) envvar(Env_MPC3_EOL_unlock(1;1000), Env_MPC3_EOL_unlock(0;1000))
3) wait(5000)
4) RequestResponse(22f1e0,62f1e0.{5}3 ,Regexp)
"	Automated Testcase	implemented	CA_CD569ICA_BL03_V4	
ID_152	1.4.1.4.2 F1DD	To check value of the DID F1DD	"1) Access to RBEOL
2) Unlock RBEOL
3) Wait 5s
4) Send service 0x22 to the camera for the DID F1dd using physical addressing
"	"1) -
2) -
3) -
4) -"	"1) envvar(EnvRBEOL(1;1000), EnvRBEOL(0;1000))
2) envvar(Env_MPC3_EOL_unlock(1;1000), Env_MPC3_EOL_unlock(0;1000))
3) wait(5000)
4) RequestResponse(22f1dd,62f1dd.*,Regexp)"	Automated Testcase	implemented	CA_CD569ICA_BL03_V4	
ID_153	1.4.1.4.3 4255	To check value of the DID 4255	"1) Access to RBEOL
2) Unlock RBEOL
3) Wait 5s
4) Send service 0x22 to the camera for the DID F4255 using physical addressing
"	"1) -
2) -
3) -
4) -"	"1) envvar(EnvRBEOL(1;1000), EnvRBEOL(0;1000))
2) envvar(Env_MPC3_EOL_unlock(1;1000), Env_MPC3_EOL_unlock(0;1000))
3) wait(5000)
4) RequestResponse(224255,624255.*,Regexp)"	Automated Testcase	implemented	CA_CD569ICA_BL03_V4	
ID_154	1.4.1.4.4 4259	To check value of the DID 4259	"1) Access to RBEOL
2) Unlock RBEOL
3) Wait 5s
4) Send service 0x22 to the camera for the DID F4259 using physical addressing
"	"1) -
2) -
3) -
4) -"	"1) envvar(EnvRBEOL(1;1000), EnvRBEOL(0;1000))
2) envvar(Env_MPC3_EOL_unlock(1;1000), Env_MPC3_EOL_unlock(0;1000))
3) wait(5000)
4) RequestResponse(224259,624259.*,Regexp)"	Automated Testcase	implemented	CA_CD569ICA_BL03_V4	
ID_155	1.4.2 Re-Flash Latest SW M5 via X-Flash 1st					Test group			
ID_156	1.4.2.1.1 Xflash CA_CD569ICA_BL03_RC05	Detail information is mentioned in the ticket: …	Screen shot the successful flash procress	Screen shot the successful flash procress	Screen shot the successful flash procress	Manual Testcase	implemented	CA_CD569ICA_BL03_RC05	
ID_157	1.4.2.2 Variant and Software  Identification					Test group			
ID_158	1.4.2.2.1 Select_and_check_variant	To Select and check variant (NO NEED TO  SELECT)	"1) Tester Present is ON
2) Change to Extended session with Service 0x10 03
3) Security unlock ON
4) wait
5) Security unlock OFF
6) Select variant
7) Check variant
"	"1) -
2) -
3) -
4) -
5) -
6) -
7) -
"	"1) envvar(EnvTesterPresentOnOff(1;0))
2) RequestResponse(1003, 5003.*, Regexp)
3) envvar(EnvLogInLevel1_1(0;0))
4) wait(1000)
5) envvar(EnvLogInLevel1_1(0;0))
6) RequestResponse(2e014001, 6e014001, Equal)
7) RequestResponse(22f1f0, 62014001, Equal)
"	Automated Testcase	implemented	CA_CD569ICA_BL03_RC05	
ID_159	1.4.2.2.2 F194_Supplier Software number	To check value of the DID F194	"1) Send service 0x22 to the camera for the DID F194 using physical addressing
"	"1) -
"	"1) RequestResponse(22f194, 62f19443443536394943415f424c30335f5634, Regexp)
"	Automated Testcase	implemented	CA_CD569ICA_BL03_RC05	
ID_160	1.4.2.2.3 F189_ECUSoftwareVersionNumberDataIdentifier	To check value of the DID F189	"1) Send service 0x22 to the camera for the DID F189 using physical addressing
"	"1) -
"	"1) RequestResponse(22f189, 62f1895357422e322e30.{2}, Regexp)
"	Automated Testcase	implemented	CA_CD569ICA_BL03_RC05	
ID_161	1.4.2.2.4 F089_ECUHardwareVersionNumberDataIdentifier	To check value of the DID F089	"1) Send service 0x22 to the camera for the DID F089 using physical addressing
"	"1) -
"	"1) RequestResponse(22f089, 62f0894857432e322e30.{2}, Regexp)
"	Automated Testcase	implemented	CA_CD569ICA_BL03_RC05	
ID_162	1.4.2.2.5 F187_Part Number	To check value of the DID F187	"1) Send service 0x22 to the camera for the DID F187 using physical addressing
"	"1) -
"	"1) RequestResponse(22f187, 62f187373931373033302d43523035.{18}, Regexp)
"	Automated Testcase	implemented	CA_CD569ICA_BL03_RC05	
ID_163	1.4.2.2.6 F188_Software Number	To check value of the DID F188	"1) Send service 0x22 to the camera for the DID F188 using physical addressing
"	"1) -
"	"1) RequestResponse(22f188, 62f188393231323430312d43523035.{16}, Regexp)
"	Automated Testcase	implemented	CA_CD569ICA_BL03_RC05	
ID_164	1.4.2.2.7 F170_FBL Version Information	To check value of the DID F170	"1) Tester Present is ON
2) Change to Extended session with Service 0x10 03
3) Send service 0x22 to the camera for the DID F170 using physical addressing
4) Change to Programing session with Service 0x10 02
5) Send service 0x22 to the camera for the DID F170 using physical addressing
6) Change to Default session with Service 0x10 01
7) Send service 0x22 to the camera for the DID F170 using physical addressing
8) Change to Extended session with Service 0x10 03
9) Send service 0x22 to the camera for the DID F170 using physical addressing
"	"1) -
2) -
3) -
4) -
5) -
6) -
7) -
8) -
9) -
"	"1) envvar(EnvTesterPresentOnOff(1;0))
2) RequestResponse(1003, 5003.*, Regexp)
3) RequestResponse(22f170, 62f17056392e30, Equal)
4) RequestResponse(1002, 5002.*, Regexp)
5) RequestResponse(22f170, 62f17056392e33, Equal)
6) RequestResponse(1001, 5001.*, Regexp)
7) RequestResponse(22f170, 62f17056392e33, Equal)
8) RequestResponse(1003, 5003.*, Regexp)
9) RequestResponse(22f170, 62f17056392e33, Equal)
"	Automated Testcase	implemented	CA_CD569ICA_BL03_RC05	
ID_165	1.4.2.3 Programming Counter and Programming Attempt Counter					Test group			
ID_166	1.4.2.3.1 0200_ProgrammingCounter	To check value of the DID 0200	"1) Send service 0x22 to the camera for the DID 0200 using physical addressing
"	"1) -
"	"1) RequestResponse(220200, 620200.{3}0, Regexp)
"	Automated Testcase	implemented	CA_CD569ICA_BL03_RC05	
ID_167	1.4.2.3.2 0201_ProgrammingAttemptCounter	To check value of the DID 0201	"1) Send service 0x22 to the camera for the DID 0201 using physical addressing
"	"1) -
"	"1) RequestResponse(220201, 620201.{7}0, Regexp)
"	Automated Testcase	implemented	CA_CD569ICA_BL03_RC05	
ID_168	1.4.2.4 DID in RBEOL					Test group			
ID_169	1.4.2.4.1 F1E0	To check value of the DID F10B	"1) Access to RBEOL
2) Unlock RBEOL
3) Wait 5s
4) Send service 0x22 to the camera for the DID F1E0 using physical addressing
"	"1) -
2) -
3) -
4) -
"	"1) envvar(EnvRBEOL(1;1000), EnvRBEOL(0;1000))
2) envvar(Env_MPC3_EOL_unlock(1;1000), Env_MPC3_EOL_unlock(0;1000))
3) wait(5000)
4) RequestResponse(22f1e0,62f1e0.{5}3 ,Regexp)
"	Automated Testcase	implemented	CA_CD569ICA_BL03_RC05	
ID_170	1.4.2.4.2 F1DD	To check value of the DID F1DD	"1) Access to RBEOL
2) Unlock RBEOL
3) Wait 5s
4) Send service 0x22 to the camera for the DID F1dd using physical addressing
"	"1) -
2) -
3) -
4) -"	"1) envvar(EnvRBEOL(1;1000), EnvRBEOL(0;1000))
2) envvar(Env_MPC3_EOL_unlock(1;1000), Env_MPC3_EOL_unlock(0;1000))
3) wait(5000)
4) RequestResponse(22f1dd,62f1dd.*,Regexp)"	Automated Testcase	implemented	CA_CD569ICA_BL03_RC05	
ID_171	1.4.2.4.3 4255	To check value of the DID 4255	"1) Access to RBEOL
2) Unlock RBEOL
3) Wait 5s
4) Send service 0x22 to the camera for the DID F4255 using physical addressing
"	"1) -
2) -
3) -
4) -"	"1) envvar(EnvRBEOL(1;1000), EnvRBEOL(0;1000))
2) envvar(Env_MPC3_EOL_unlock(1;1000), Env_MPC3_EOL_unlock(0;1000))
3) wait(5000)
4) RequestResponse(224255,624255.*,Regexp)"	Automated Testcase	implemented	CA_CD569ICA_BL03_RC05	
ID_172	1.4.2.4.4 4259	To check value of the DID 4259	"1) Access to RBEOL
2) Unlock RBEOL
3) Wait 5s
4) Send service 0x22 to the camera for the DID F4259 using physical addressing
"	"1) -
2) -
3) -
4) -"	"1) envvar(EnvRBEOL(1;1000), EnvRBEOL(0;1000))
2) envvar(Env_MPC3_EOL_unlock(1;1000), Env_MPC3_EOL_unlock(0;1000))
3) wait(5000)
4) RequestResponse(224259,624259.*,Regexp)"	Automated Testcase	implemented	CA_CD569ICA_BL03_RC05	
ID_173	1.4.2 Re-Flash Latest SW M3 via X-Flash 2nd					Test group			
ID_174	1.4.2.1.1 Xflash CA_CD569ICA_BL03_RC05	Detail information is mentioned in the ticket: …	Screen shot the successful flash procress	Screen shot the successful flash procress	Screen shot the successful flash procress	Manual Testcase	implemented	CA_CD569ICA_BL03_RC05	
ID_175	1.4.2.2 Variant and Software  Identification					Test group			
ID_176	1.4.2.2.1 Select_and_check_variant	To Select and check variant (NO NEED TO  SELECT)	"1) Tester Present is ON
2) Change to Extended session with Service 0x10 03
3) Security unlock ON
4) wait
5) Security unlock OFF
6) Select variant
7) Check variant
"	"1) -
2) -
3) -
4) -
5) -
6) -
7) -
"	"1) envvar(EnvTesterPresentOnOff(1;0))
2) RequestResponse(1003, 5003.*, Regexp)
3) envvar(EnvLogInLevel1_1(0;0))
4) wait(1000)
5) envvar(EnvLogInLevel1_1(0;0))
6) RequestResponse(2e014001, 6e014001, Equal)
7) RequestResponse(22f1f0, 62014001, Equal)
"	Automated Testcase	implemented	CA_CD569ICA_BL03_RC05	
ID_177	1.4.2.2.2 F194_Supplier Software number	To check value of the DID F194	"1) Send service 0x22 to the camera for the DID F194 using physical addressing
"	"1) -
"	"1) RequestResponse(22f194, 62f19443443536394943415f424c30335f5634, Regexp)
"	Automated Testcase	implemented	CA_CD569ICA_BL03_RC05	
ID_178	1.4.2.2.3 F189_ECUSoftwareVersionNumberDataIdentifier	To check value of the DID F189	"1) Send service 0x22 to the camera for the DID F189 using physical addressing
"	"1) -
"	"1) RequestResponse(22f189, 62f1895357422e322e30.{2}, Regexp)
"	Automated Testcase	implemented	CA_CD569ICA_BL03_RC05	
ID_179	1.4.2.2.4 F089_ECUHardwareVersionNumberDataIdentifier	To check value of the DID F089	"1) Send service 0x22 to the camera for the DID F089 using physical addressing
"	"1) -
"	"1) RequestResponse(22f089, 62f0894857432e322e30.{2}, Regexp)
"	Automated Testcase	implemented	CA_CD569ICA_BL03_RC05	
ID_180	1.4.2.2.5 F187_Part Number	To check value of the DID F187	"1) Send service 0x22 to the camera for the DID F187 using physical addressing
"	"1) -
"	"1) RequestResponse(22f187, 62f187373931373033302d43523035.{18}, Regexp)
"	Automated Testcase	implemented	CA_CD569ICA_BL03_RC05	
ID_181	1.4.2.2.6 F188_Software Number	To check value of the DID F188	"1) Send service 0x22 to the camera for the DID F188 using physical addressing
"	"1) -
"	"1) RequestResponse(22f188, 62f188393231323430312d43523035.{16}, Regexp)
"	Automated Testcase	implemented	CA_CD569ICA_BL03_RC05	
ID_182	1.4.2.2.7 F170_FBL Version Information	To check value of the DID F170	"1) Tester Present is ON
2) Change to Extended session with Service 0x10 03
3) Send service 0x22 to the camera for the DID F170 using physical addressing
4) Change to Programing session with Service 0x10 02
5) Send service 0x22 to the camera for the DID F170 using physical addressing
6) Change to Default session with Service 0x10 01
7) Send service 0x22 to the camera for the DID F170 using physical addressing
8) Change to Extended session with Service 0x10 03
9) Send service 0x22 to the camera for the DID F170 using physical addressing
"	"1) -
2) -
3) -
4) -
5) -
6) -
7) -
8) -
9) -
"	"1) envvar(EnvTesterPresentOnOff(1;0))
2) RequestResponse(1003, 5003.*, Regexp)
3) RequestResponse(22f170, 62f17056392e30, Equal)
4) RequestResponse(1002, 5002.*, Regexp)
5) RequestResponse(22f170, 62f17056392e33, Equal)
6) RequestResponse(1001, 5001.*, Regexp)
7) RequestResponse(22f170, 62f17056392e33, Equal)
8) RequestResponse(1003, 5003.*, Regexp)
9) RequestResponse(22f170, 62f17056392e33, Equal)
"	Automated Testcase	implemented	CA_CD569ICA_BL03_RC05	
ID_183	1.4.2.3 Programming Counter and Programming Attempt Counter					Test group			
ID_184	1.4.2.3.1 0200_ProgrammingCounter	To check value of the DID 0200	"1) Send service 0x22 to the camera for the DID 0200 using physical addressing
"	"1) -
"	"1) RequestResponse(220200, 620200.{3}0, Regexp)
"	Automated Testcase	implemented	CA_CD569ICA_BL03_RC05	
ID_185	1.4.2.3.2 0201_ProgrammingAttemptCounter	To check value of the DID 0201	"1) Send service 0x22 to the camera for the DID 0201 using physical addressing
"	"1) -
"	"1) RequestResponse(220201, 620201.{7}0, Regexp)
"	Automated Testcase	implemented	CA_CD569ICA_BL03_RC05	
ID_186	1.4.2.4 DID in RBEOL					Test group			
ID_187	1.4.2.4.1 F1E0	To check value of the DID F10B	"1) Access to RBEOL
2) Unlock RBEOL
3) Wait 5s
4) Send service 0x22 to the camera for the DID F1E0 using physical addressing
"	"1) -
2) -
3) -
4) -
"	"1) envvar(EnvRBEOL(1;1000), EnvRBEOL(0;1000))
2) envvar(Env_MPC3_EOL_unlock(1;1000), Env_MPC3_EOL_unlock(0;1000))
3) wait(5000)
4) RequestResponse(22f1e0,62f1e0.{5}3 ,Regexp)
"	Automated Testcase	implemented	CA_CD569ICA_BL03_RC05	
ID_188	1.4.2.4.2 F1DD	To check value of the DID F1DD	"1) Access to RBEOL
2) Unlock RBEOL
3) Wait 5s
4) Send service 0x22 to the camera for the DID F1dd using physical addressing
"	"1) -
2) -
3) -
4) -"	"1) envvar(EnvRBEOL(1;1000), EnvRBEOL(0;1000))
2) envvar(Env_MPC3_EOL_unlock(1;1000), Env_MPC3_EOL_unlock(0;1000))
3) wait(5000)
4) RequestResponse(22f1dd,62f1dd.*,Regexp)"	Automated Testcase	implemented	CA_CD569ICA_BL03_RC05	
ID_189	1.4.2.4.3 4255	To check value of the DID 4255	"1) Access to RBEOL
2) Unlock RBEOL
3) Wait 5s
4) Send service 0x22 to the camera for the DID F4255 using physical addressing
"	"1) -
2) -
3) -
4) -"	"1) envvar(EnvRBEOL(1;1000), EnvRBEOL(0;1000))
2) envvar(Env_MPC3_EOL_unlock(1;1000), Env_MPC3_EOL_unlock(0;1000))
3) wait(5000)
4) RequestResponse(224255,624255.*,Regexp)"	Automated Testcase	implemented	CA_CD569ICA_BL03_RC05	
ID_190	1.4.2.4.4 4259	To check value of the DID 4259	"1) Access to RBEOL
2) Unlock RBEOL
3) Wait 5s
4) Send service 0x22 to the camera for the DID F4259 using physical addressing
"	"1) -
2) -
3) -
4) -"	"1) envvar(EnvRBEOL(1;1000), EnvRBEOL(0;1000))
2) envvar(Env_MPC3_EOL_unlock(1;1000), Env_MPC3_EOL_unlock(0;1000))
3) wait(5000)
4) RequestResponse(224259,624259.*,Regexp)"	Automated Testcase	implemented	CA_CD569ICA_BL03_RC05	
